	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count	vogdb_hits	virsorter_category	auxiliary_score	is_transposon	amg_flags
VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1_11	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	VIRSorter_NODE_1004_length_9816_cov_13_979715-cat_1	11	8354	9814	-1	D			YP_009800690.1	YP_009800690.1 large terminase [Burkholderia phage vB_BmuP_KL4]	True	0.5539999999999999	505.0	1.0759999999999994e-157								Phage terminase large subunit [PF04466.14]		sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF; Xu	Xu	0		0	5	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_1	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	1	145	378	-1	E																				0		2	5	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	2	380	934	-1	D			YP_007517980.1	YP_007517980.1 sliding clamp DNA polymerase accessory protein [Pelagibacter phage HTVC008M]	False	0.482	142.0	9.725e-38								gp45 sliding clamp, C terminal [PF09116.11]		sp|P04525|DPA5_BPT4 DNA polymerase clamp; Xr	Xr	0		1	4	False	VF
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_3	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	3	989	2713	-1	D			YP_004322286.1	YP_004322286.1 recombination endonuclease subunit [Synechococcus phage S-SM2]	True	0.449	458.0	5.237999999999996e-140								AAA domain [PF13476.7]; RecF/RecN/SMC N terminal domain [PF02463.20]; AAA domain [PF13514.7]; P-loop containing region of AAA domain [PF13555.7]		sp|P04522|EXO2_BPT4 Exonuclease subunit 2; XhXp	Xh;Xp	0		1	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_4	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	4	2710	3558	-1	E			YP_007517967.1	YP_007517967.1 recombination endonuclease subunit [Pelagibacter phage HTVC008M]	False	0.355	201.0	2.174e-56												0		1	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_5	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	5	3558	3773	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_6	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	6	3837	4058	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_7	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	7	4064	4630	-1	E			YP_009783274.1	YP_009783274.1 RNA polymerase sigma factor for late transcription [Cyanophage S-RIM44]	False	0.589	147.0	1.918e-39										sp|P04524|RP55_BPT4 RNA polymerase sigma factor; XhXr	Xr;Xh	0			2	False	VF
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_8	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	8	4688	5056	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_9	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	9	5134	5574	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_10	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	10	5558	6349	-1	C	K18959	ATP-dependent DNA helicase UvsW [EC:3.6.4.12]	YP_007517963.1	YP_007517963.1 UvsW [Pelagibacter phage HTVC008M]	False	0.593	288.0	1.039e-86												0		1	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_11	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	11	7015	7461	-1	D			YP_009098922.1	YP_009098922.1 UvsY-like protein [Caulobacter phage Cr30]	False	0.3720000000000001	93.0	2.0109999999999998e-21								Recombination, repair and ssDNA binding protein UvsY [PF11056.9]		sp|P04537|UVSY_BPT4 Recombination protein uvsY; Xr	Xr	0		1	2	False	VF
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_12	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	12	7499	7846	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_13	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	13	7849	8094	-1	E																				0			2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_14	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	14	8091	8558	-1	D			YP_004322549.1	YP_004322549.1 head-proximal tip of tail tube tail completion + sheath stabilizer protein [Prochlorococcus phage P-HM1]	False	0.348	95.0	7.459e-22								T4-like virus tail tube protein gp19 [PF06841.13]		sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xr;Xh;Xp;Xs	0		1	2	False	VF
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_15	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	15	8618	8821	-1	E																				0		-	2	False	F
VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2_16	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	VIRSorter_NODE_1008_length_9797_cov_2_128824-cat_2	16	9005	9796	-1	D			YP_007674500.1	YP_007674500.1 major capsid protein [Synechococcus phage S-SKS1]	False	0.6559999999999999	346.0	8.374999999999996e-107								Major capsid protein Gp23 [PF07068.12]		sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xh;Xs	0		0	5	False	VF
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_1	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	1	3	272	-1	E																				0		2	5	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	2	269	505	-1	E																				0		-	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_3	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	3	496	810	-1	E																				0		-	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_4	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	4	810	1304	-1	E																				0		2	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_5	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	5	1316	1612	-1	E																				0		-	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_6	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	6	1856	2122	-1	E			YP_009601359.1	YP_009601359.1 hypothetical protein PHIM7_234 [Sinorhizobium phage phiM7]	False	0.4320000000000001	73.0	2.2940000000000002e-15										REFSEQ hypothetical protein; Xu	Xu	0		2	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_7	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	7	2229	4277	-1	C	K01768	adenylate cyclase [EC:4.6.1.1]	YP_007517885.1	YP_007517885.1 adenylate/guanylyl cyclase [Pelagibacter phage HTVC008M]	True	0.384	394.0	1.2369999999999992e-116								Adenylate and Guanylate cyclase catalytic domain [PF00211.21]; CHASE2 domain [PF05226.12]				0		1	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_8	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	8	4274	4975	-1	E																				0		1	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_9	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	9	5004	6146	-1	E			YP_007517883.1	YP_007517883.1 hypothetical protein [Pelagibacter phage HTVC008M]	False	0.33	182.0	2.313e-48												0		1	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_10	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	10	6100	6828	-1	E			YP_007517882.1	YP_007517882.1 curlin-associated protein [Pelagibacter phage HTVC008M]	False	0.254	76.0	3.668e-14												0		2	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_11	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	11	6821	7798	-1	C	K06214	curli production assembly/transport component CsgG	YP_007517881.1	YP_007517881.1 curli production assembly/transport component [Pelagibacter phage HTVC008M]	False	0.456	231.0	3.750999999999999e-66								Curli production assembly/transport component CsgG [PF03783.15]		sp|A8AI45|CSGG_CITK8 Curli production assembly/transport component CsgG; Xh	Xh	0		1	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_12	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	12	7764	8261	-1	C	K04338	curli production assembly/transport component CsgF	YP_007517880.1	YP_007517880.1 curli production assembly/transport component [Pelagibacter phage HTVC008M]	False	0.449	117.0	1.8269999999999998e-29								Type VIII secretion system (T8SS), CsgF protein [PF10614.10]				0		1	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_13	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	13	8203	8496	-1	E			YP_007517878.1	YP_007517878.1 hypothetical protein [Pelagibacter phage HTVC008M]	False	0.478	69.0	8.096e-14												0		1	3	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_14	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	14	8500	8778	-1	E			YP_007517877.1	YP_007517877.1 hypothetical protein [Pelagibacter phage HTVC008M]	False	0.5429999999999999	96.0	2.847e-23												0		1	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_15	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	15	8841	9062	-1	E																				0		-	4	False	F
VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2_16	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	VIRSorter_NODE_1013_length_9727_cov_3_967122-cat_2	16	9062	9727	-1	E																				0		-	5	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	1	2	3298	-1	E			YP_009777665.1	YP_009777665.1 tail fiber [uncultured phage_MedDCM-OCT-S42-C7]	False	0.537	158.0	1.5359999999999995e-37										REFSEQ putative tail fiber protein; Xu	Xu	0		1	5	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_2	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	2	3298	5145	-1	E			YP_008320306.1	YP_008320306.1 hypothetical protein phage1322_44 [Puniceispirillum phage HMO-2011]	False	0.268	231.0	2.355999999999999e-62										REFSEQ hypothetical protein; Xu	Xu	0		1	2	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_3	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	3	5147	5869	-1	E			YP_008320307.1	YP_008320307.1 hypothetical protein phage1322_45 [Puniceispirillum phage HMO-2011]	False	0.408	170.0	2.4669999999999994e-46												0		1	2	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_4	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	4	5937	7013	-1	D			YP_008320309.1	YP_008320309.1 putative coat protein [Puniceispirillum phage HMO-2011]	True	0.561	384.0	2.811999999999999e-118								P22 coat protein - gene protein 5 [PF11651.9]		sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xr;Xs	0		0	2	False	VF
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_5	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	5	7323	8102	-1	E			YP_008320310.1	YP_008320310.1 hypothetical protein phage1322_48 [Puniceispirillum phage HMO-2011]	False	0.457	203.0	1.383e-57										REFSEQ hypothetical protein; Xu	Xu	0		1	1	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_6	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	6	8176	8730	-1	E			YP_008320311.1	YP_008320311.1 hypothetical protein phage1322_49 [Puniceispirillum phage HMO-2011]	False	0.58	82.0	4.441e-17												0		1	1	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_7	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	7	8730	8945	-1	E																				0		2	1	False	F
VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1_8	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	VIRSorter_NODE_1025_length_9588_cov_7_628553-cat_1	8	8945	9586	-1	E			YP_008320313.1	YP_008320313.1 putative portal protein [Puniceispirillum phage HMO-2011]	False	0.596	232.0	2.2729999999999997e-68												0		0	5	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_1	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	1	50	268	1	E																				0		2	5	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_2	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	2	317	535	1	E																				0			4	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_3	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	3	628	843	1	E																				0			4	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_4	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	4	912	1250	1	E																				0			4	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	5	1276	3294	-1	E																				0			4	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_6	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	6	3306	3467	-1	E			YP_007674616.1	YP_007674616.1 hypothetical protein SWZG_00259 [Synechococcus phage S-SKS1]	False	0.635	63.0	1.223e-12										REFSEQ hypothetical protein; Xu	Xu	0			4	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_7	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	7	3467	4168	-1	D			YP_009140796.1	YP_009140796.1 baseplate hub subunit [Synechococcus phage ACG-2014i]	False	0.431	181.0	2.126e-50								T4 bacteriophage base plate protein [PF12322.9]		sp|P17173|TAP51_BPT4 Baseplate hub assembly protein gp51; XhXs	Xh;Xs	0			4	False	VF
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_8	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	8	4182	4961	-1	E			YP_009099003.1	YP_009099003.1 hypothetical protein [Caulobacter phage Cr30]	False	0.295	84.0	6.779e-17										sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xr;Xh;Xp;Xs	0			4	False	VF
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_9	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	9	4963	5568	-1	E			YP_009601228.1	YP_009601228.1 putative DNA end protector protein [Sinorhizobium phage phiM7]	False	0.616	244.0	1.0589999999999998e-72										sp|P15076|DNAPR_BPT4 Terminal DNA protecting protein; XpXs	Xp;Xs	0			4	False	VF
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_10	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	10	5602	6021	-1	D			YP_009324997.1	YP_009324997.1 head completion protein [Synechococcus phage S-WAM1]	False	0.618	156.0	2.3479999999999998e-43								TnsA endonuclease N terminal [PF08722.12]		sp|P15075|VG50_BPT4 Head completion protein Gp50; Xu	Xu	0			2	False	F
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_11	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	11	6076	7116	1	D			YP_009601226.1	YP_009601226.1 baseplate tail tube cap [Sinorhizobium phage phiM7]	False	0.268	117.0	5.525e-27								Tail-tube assembly protein [PF11091.9]		sp|P13339|BP48_BPT4 Baseplate tail-tube junction protein gp48; XhXs	Xh;Xs	0		0	3	False	VF
VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5_12	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	VIRSorter_NODE_1030_length_9561_cov_2_399327_gene_4_gene_15-2056-9561-cat_5	12	7116	7490	1	D			YP_009601225.1	YP_009601225.1 baseplate wedge subunit [Sinorhizobium phage phiM7]	False	0.471	113.0	1.473e-28								Base plate wedge protein 53 [PF11246.9]				0			2	False	F
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_1	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	1	3	278	-1	D			YP_009322442.1	YP_009322442.1 hypothetical protein N161109_007 [Synechococcus phage S-CAM9]	False	0.643	119.0	1.5149999999999999e-31								TnsA endonuclease N terminal [PF08722.12]		sp|P15075|VG50_BPT4 Head completion protein Gp50; Xu	Xu	0		1	5	False	F
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	2	347	1423	1	E			YP_009601226.1	YP_009601226.1 baseplate tail tube cap [Sinorhizobium phage phiM7]	False	0.262	111.0	4.7109999999999995e-25										sp|P13339|BP48_BPT4 Baseplate tail-tube junction protein gp48; XhXs	Xh;Xs	0		1	3	False	VF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_3	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	3	1426	1797	1	D			YP_009601225.1	YP_009601225.1 baseplate wedge subunit [Sinorhizobium phage phiM7]	False	0.443	103.0	3.791e-25								Base plate wedge protein 53 [PF11246.9]		sp|P16011|BP53_BPT4 Baseplate wedge protein gp53; XhXs	Xh;Xs	0		1	3	False	VF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_4	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	4	1800	2054	1	E																				0		-	3	False	F
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_5	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	5	2059	3507	1	E			YP_009212353.1	YP_009212353.1 hypothetical protein PHIN3_113 [Sinorhizobium phage phiN3]	False	0.2	98.0	3.3930000000000003e-20										sp|P17172|BP27_BPT4 Baseplate central spike complex protein gp27; XhXs	Xh;Xs	0		1	3	False	VF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_6	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	6	3507	5648	1	D			YP_009212352.1	YP_009212352.1 baseplate hub [Sinorhizobium phage phiN3]	False	0.253	223.0	7.811999999999998e-59								Gp5 N-terminal OB domain [PF06714.12]	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-) [GH104]	REFSEQ hypothetical protein; Xu	Xu	0		1	3	False	AF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_7	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	7	5648	7267	1	E			YP_009212351.1	YP_009212351.1 peptidase M15 [Sinorhizobium phage phiN3]	False	0.187	84.0	1.609e-15										REFSEQ peptidase M15; Xu	Xu	0		-	3	False	
