	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	vogdb_hits	virsorter_category	auxiliary_score	is_transposon	amg_flags
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	2	462	1157	1	E											REFSEQ hypothetical protein; Xu	Xu	0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_3	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	3	1099	3333	1	D			YP_009217081.1	YP_009217081.1 Virulence Associated E Protein [Phormidium phage MIS-PhV1B]	False	0.315	186.0	5.389e-47	Virulence-associated protein E [PF05272.12]		REFSEQ hypothetical protein; Xu	Xu	0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_4	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	4	3363	3599	1	E													0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_5	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	5	3599	4414	1	E													0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_6	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	6	4447	4869	1	E													0									-	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_7	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	7	4820	5455	1	E													0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_8	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	8	5455	5868	1	E													0									2	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_9	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	9	5865	6185	-1	D			YP_009834216.1	YP_009834216.1 nucleotide kinase [Lentibacter virus vB_LenP_ICBM2]	False	0.454	61.0	8.993e-11	Protein of unknwon function (DUF3310) [PF11753.9]		REFSEQ hypothetical protein; Xu	Xu	0									1	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_10	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	10	6244	6774	1	D									Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.24]				0									-	3	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_11	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	11	6764	7294	1	D			YP_001285436.1	YP_001285436.1 DNA polymerase [Synechococcus virus Syn5]	False	0.52	170.0	1.383e-47	RNase_H superfamily [PF13482.7]				0									1	3	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_12	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	12	7281	7493	1	E											REFSEQ hypothetical protein; Xu	Xu	0									2	3	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_13	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	13	7484	8041	1	E			YP_001285436.1	YP_001285436.1 DNA polymerase [Synechococcus virus Syn5]	False	0.511	115.0	1.879e-28					0									1	3	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_14	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	14	8041	8709	1	D			YP_009807514.1	YP_009807514.1 DNA polymerase nucleotidyl transferase region [Synechococcus T7-like virus S-TIP37]	False	0.505	211.0	7.985999999999998e-61	DNA polymerase family A [PF00476.21]		REFSEQ hypothetical protein; Xu	Xu	0									1	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_15	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	15	8797	9909	-1	E													0									-	4	False	F
VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2_16	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	VIRSorter_NODE_1438_length_10518_cov_2_850999-cat_2	16	10179	10517	1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_1	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	1	41	190	-1	E													0										5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_2	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	2	729	1025	1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	3	982	1818	1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_4	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	4	1901	2758	-1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_5	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	5	2877	3461	-1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_6	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	6	3698	4018	-1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_7	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	7	4024	4437	-1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_8	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	8	5553	7934	-1	D			NP_077550.1	NP_077550.1 EsV-1-65 [Ectocarpus siliculosus virus 1]	False	0.223	109.0	8.624e-23	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.27]; Response regulator receiver domain [PF00072.25]; Transcriptional regulatory protein, C terminal [PF00486.29]; His Kinase A (phospho-acceptor) domain [PF00512.26]; GAF domain [PF13492.7]		sp|Q9HUI3|ARUS_PSEAE Sensor histidine kinase AruS; Xh	Xh	0									2	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_9	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	9	8217	8492	1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_10	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	10	9352	9954	1	E													0									-	5	False	F
VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3_11	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	VIRSorter_NODE_1474_length_10253_cov_3_949402-cat_3	11	10113	10253	1	E													0										5	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_1	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	1	68	292	1	E													0										5	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	2	520	738	1	E													0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_3	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	3	735	1073	1	E													0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_4	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	4	1175	1600	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_5	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	5	1736	1825	1	E													0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_6	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	6	1825	3348	1	D			YP_007112015.1	YP_007112015.1 terminase large subunit [Escherichia phage mEp234]	False	0.196	93.0	2.8230000000000003e-18	Phage Terminase [PF03354.16]		sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_7	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	7	3345	3641	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]							HNH endonuclease [PF01844.24]				0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_8	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	8	3869	4141	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_9	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	9	4150	5427	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_10	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	10	5449	6360	1	C	K06904	uncharacterized protein							Caudovirus prohead serine protease [PF04586.18]				0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_11	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	11	6351	6719	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_12	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	12	6706	7731	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_13	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	13	7750	8088	1	E													0									-	4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_14	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	14	8092	8241	1	E													0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_15	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	15	8268	8597	1	E													0										4	False	F
VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2_16	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	VIRSorter_NODE_1554_length_9671_cov_3_783590-cat_2	16	8681	9670	1	E													0										4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_1	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	1	113	280	1	E													0									-	5	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	2	374	700	1	E													0									-	4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_3	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	3	693	1820	1	E			YP_009140555.1	YP_009140555.1 hypothetical protein [Flavobacterium phage FCL-2]	False	0.246	97.0	3.62e-20					0									2	4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_4	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	4	1765	2073	1	E													0										4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_5	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	5	2090	2941	1	E			YP_008240801.1	YP_008240801.1 hypothetical protein Phi19:3_gp016 [Cellulophaga phage phi19:3]	False	0.341	156.0	4.587e-41					0									1	4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_6	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	6	2955	3275	1	E			YP_004508590.1	YP_004508590.1 hypothetical protein SCRM01_157c [Synechococcus phage S-CRM01]	False	0.461	74.0	1.932e-15					0									1	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_7	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	7	3272	3784	1	E													0									2	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_8	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	8	3777	4127	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]											0									2	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_9	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	9	4120	4329	1	E													0									-	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_10	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	10	4331	4564	1	E													0									-	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_11	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	11	4536	4940	1	E													0									-	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_12	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	12	4937	5185	1	E													0										2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_13	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	13	5239	5619	1	C	K08640	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	YP_004327143.1	YP_004327143.1 carboxypeptidase [Pseudoalteromonas phage H105/1]	False	0.413	86.0	3.365e-19	Peptidase M15 [PF08291.12]; Bacterial protein of unknown function (DUF882) [PF05951.14]				0	MER0151942	M15A	MER0151942 - subfamily M15A non-peptidase homologues (Desulfatibacillum alkenivorans) [M15.UNA]#M15A#{peptidase unit: 23-114}~source YP_002433687~	False	0.508	90.0	2.531e-20		1	2	False	PF
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_14	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	14	5619	5744	1	E													0									-	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_15	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	15	5747	6112	1	E			YP_006560414.1	YP_006560414.1 hypothetical protein P12024L_15 [Nonlabens phage P12024L]	False	0.464	70.0	6.04e-14					0									1	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_16	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	16	6179	6433	-1	E													0									-	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_17	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	17	6417	6581	-1	E													0										2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_18	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	18	6581	7120	-1	E													0									1	2	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_19	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	19	7123	8355	-1	E			YP_006560346.1	YP_006560346.1 phage portal protein [Nonlabens phage P12024S]	False	0.208	83.0	1.343e-15			sp|Q4Z9G3|PORTL_BPTWO Probable portal protein; XpXrXs	Xr;Xp;Xs	0									0	4	False	VF
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_20	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	20	8372	8707	-1	E													0									2	4	False	F
VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2_21	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	VIRSorter_NODE_1613_length_9350_cov_2_237332-cat_2	21	8914	9348	-1	D			YP_009301713.1	YP_009301713.1 hypothetical protein R1080702_215 [Cyanophage S-RIM32]	False	0.304	64.0	2.071e-11	Concanavalin A-like lectin/glucanases superfamily [PF13385.7]				0	MER0229993	M43B	MER0229993 - subfamily M43B non-peptidase homologues (Methylomicrobium album) [M43.UNB]#M43B#{peptidase unit: 274-363}~source ZP_09863062~	False	0.433	67.0	5.62e-12			5	False	MKPF
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_1	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	1	3	173	1	E													0									4	5	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	2	189	743	1	E													0									2	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_3	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	3	805	1068	1	E													0									2	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_4	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	4	1068	1295	1	E													0									2	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_5	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	5	1295	1900	1	E			YP_008241470.1	YP_008241470.1 hypothetical protein Phi38:1_gp089 [Cellulophaga phage phi38:1]	False	0.318	97.0	5.648999999999998e-22			REFSEQ chaperonin cpn10; Xu	Xu	0									1	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_6	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	6	1845	2120	1	E													0									2	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_7	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	7	2120	4330	1	E			YP_008240888.1	YP_008240888.1 hypothetical protein Phi19:3_gp103 [Cellulophaga phage phi19:3]	True	0.396	518.0	4.910999999999997e-158			REFSEQ hypothetical protein; Xu	Xu	0									1	3	False	F
VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2_8	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	VIRSorter_NODE_1637_length_9205_cov_3_723169-cat_2	8	4331	6769	1	E			YP_008241472.1	YP_008241472.1 structural protein [Cellulophaga phage phi38:1]	True	0.339	439.0	3.5299999999999976e-130			REFSEQ structural protein; Xu	Xu	0									1	3	False	F
